HfGRNUOqhLk	918175	928071	939607
Kk5naOEL3gQ	818602	870612	977927
MF_EPWq89mo	207966	220719	234605
4bKuBuPB_QA	85005	85670	86448
eYOIhHu2gho	475136	475619	476007
0NDPSeDiYBI	78960	78996	79014
Rv_QcHj5Vxs	286338	297320	307211
84GjVhVAULU	766802	873441	955206
YxvjzpH9vPs	157354	212326	283959
4m8xhQ75gvM	834928	855356	864661
y6Pxg27GX9Y	423632	441115	456349
X84S0j4GPyU	1085282	1193416	1298695
VXYMOITklKQ	701136	728137	754700
WRyCD2AyqP4	10269665	10452069	10728202
CzwpjioJIUo	329362	330533	331768
y2_2IxRCxvM	537064	579178	618700
koOuhXmdBdI	2018228	2021781	2025226
U487ngbPKKk	1453740	1505972	1567673
-h0hGTDzdKs	40749	50327	56848
zST4EESh2aE	5534365	5559080	5594311
IR-h0BcCV_o	57284	62104	69561
H-HNDhfryXQ	2344131	2376276	2432474
O1hXeuoDONo	829742	830249	831849
pqVX4QN1Nsg	1858863	1865957	1875803
S2wvYiCxpdU	318395	339604	356340
lyfISRoBPZQ	2213190	2221209	2230023
EN3Xm1w-oGg	491118	530968	584341
C910ulZVXjY	1790597	1826126	1872027
bGMlQRpzeLo	25315410	25998937	26733703
CDDzP-tW6XQ	1715959	1725362	1736469
0CtA4eHKcS8	2234675	2255402	2276988
HJUMWJgYvPs	1398569	1454611	1495424
xNLL2OENNdk	229345	259447	286210
KnFfCJKRitM	38245	53019	63862
dEB-TuFjVzE	4458517	4498596	4540578
8eTCqqd4qkw	4602895	4646539	4703971
cQwqzHgIIl0	3287069	3301219	3318498
Y111jltWqoo	545117	557306	550721
d7jD-gOcwx8	352879	360932	368189
Jw6xsgQuv4U	185263	208801	227268
lW_CN08A3jM	1502169	1556468	1621750
sy_NRNgJ8zY	137207	181501	213642
L2VTYeS9rlw	208831	212988	217165
7ha13cIHibA	553620	617274	646912
w9F9axqZTnQ	2098663	2099498	2101370
4luZQmTgfc0	110006	118505	126387
_TSlROwQa10	2201104	2610834	3137790
PSrIh_fu804	113319	117657	122151
dNaiIOCKK3c	39287	42033	46735
6VH032e4CaQ	600523	604269	607779
apSPz24XXXM	257751	281753	303464
VZTetCZGWuI	700234	720451	739883
0bcPhHJfbC0	2576462	2710923	2869667
0kL6Nins8kw	4386616	4674867	5575212
TAujO9tcu2Y	1219628	1284906	1329322
YyFMM8EhKUc	1302070	1316664	1336655
Cm3233wSAGA	194888	200781	206748
VFKrzbRm-qA	121865	131423	138986
GzALNQvsejs	350455	377260	406110
_LpkDmpSKGQ	744779	1095031	1635611
XrRM4LGbYGU	190899	198675	207653
Vk1ohbgV_wk	108942	134947	172406
BKG7F0doeRw	341120	398417	449392
qfMH7GGYeFQ	169247	212329	245784
K-0z8551g7k	50114	52025	52515
lQXvS6OLA6w	733495	748821	760446
4Skc3YjeTFU	1424937	1441525	1462128
RaXNJ7S860U	749329	749641	749777
5wl3sF31g8c	135454	138337	139025
ZRNdEIdL0Xk	555725	581552	617000
6_J2IvIeyaM	249698	252234	255121
WUgaaLeLPfM	7932071	8705601	9724165
hWWw-06ebkY	1032427	1049473	1063748
iVyPhKlthgk	2490323	2525083	2584328
6qbZEcNtuKA	794774	799474	805983
kGQeFzjpMHc	714668	1011639	1580060
Im4yFXNCyy8	1054261	1979343	2472483
CTCQvQeKsMg	209309	210429	211309
rmDwpCASLHE	437451	444763	450613
Vqs0jkoIH4U	114329	118346	120826
ocNWBEbEpCk	3351326	3390403	3424014
kycUJ_Dzebs	2257257	2610319	3117281
GUA6qFql8EI	271532	302924	342047
g4DEtdHcOpk	106777	110700	114983
gvPM3qEL2hg	111862	112912	114305
AvHoOgodJzk	1159306	1198752	1247252
MbfNHvxwu_c	423419	446128	461864
2upe3h1XeZc	776673	779781	783623
9wgaix00KCE	645026	771385	847539
aop_GVqt724	685984	957288	1131370
ZubZ-9kUQ3c	423386	431128	437085
N6IMt3uMODA	163614	170182	176338
0pHKWCnSHhg	1494514	1510171	1525449
hCqYimA3ubQ	74596	75630	76160
FW5vAykqQV8	264185	438622	581771
iCVp9pDcDAM	263271	294501	323382
TMjgM3l5l3M	21669078	21911938	22212210
IeFYz58yBOo	149648	160606	168366
iT8McIwynUg	39813	43324	46434
1jc57fUxJhA	681168	701108	715945
9gW4NxZlSeo	163177	165456	168441
4OUfyETcFbg	391651	407269	423364
7tHAM2XCgi0	1121940	1123575	1124975
GSmZlGwqv_8	1255397	1285036	1319020
L2PTu_sT6tU	69459	80225	88527
nSJhOAVfgTE	833150	846980	858541
CMIndaI7Xfg	1445839	1454972	1469176
EJDEhhN4stQ	2671415	2696267	2719064
gPeUqezt8hM	237106	245613	253669
WNW1kw_DJQI	270483	326397	375725
YA4hoJiAg2g	217986	235373	250676
6J9KDUX5KoM	254777	256574	258720
VJErp79VxFs	309868	310467	310974
c6GDV5KKGxg	52630	54575	56115
37ABwYbWna0	313745	333513	348013
6kO0Mducvbc	445434	616376	703727
mPXJlhkl7R0	1412698	1430642	1448196
BuDjScenL1w	316440	317548	318026
DFj-3xA5pyM	511069	576227	651317
OTCKYZ9qKmA	2111143	2120044	2128883
